acadm_term	acadm_year	authorize_p	authorize_r	authorize_using	brief_eng	cancel	chn_name	class_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	deleteQ	dept_chiabbr	dept_code	dept_engfull	dept_group	dept_group_name	emi	eng_name	eng_teach	exp_hours	fillcounter	for_query	form_s	form_s_name	full_flag	gender_restrict	hours	iCounter	intensive	limit	limit_count_h	moocs_teach	not_choose	option_code	percentage	restrict	rt	school_avg	scoreEnt	selfTeach	selfTeachName	send_time	serial_no	status	tcode	teacher	time_inf	tname	umd	week_section1	week_section2	week_section3	week_section4	generalCore
3	113	0	0.00				英文（三）：文學與文化			◎第2期  ◎第一類課程 【Summer Session 2】				00UB9A1	A	半	2.0		共同科	CU					English (III): Literature and Culture	是										Y	0	35			必		◎必須先修過【英文（一）】◎必須先修過【英文（二）】	N						0044			李金安	◎密集課程							
3	113	0	0.00				英文（三）：藝術英文			◎全期  ◎第一類課程 【Summer Session 1 & 2】				00UB9D1	A	半	2.0		共同科	CU					English (III):  English for Arts and Design	是										Y	0	35			必		◎必須先修過【英文（一）】◎必須先修過【英文（二）】	N						0045			陳瑄	◎密集課程							
3	113	0	0.00				英文（三）：商用英文			◎第1期  ◎第一類課程  【Summer Session 1】				00UB9H1	A	半	2.0		共同科	CU					English (III): English for Business	是										Y	0	35			必		◎必須先修過【英文（一）】◎必須先修過【英文（二）】	N						0046			李金安	◎密集課程							
3	113	0	0.00				英文（三）：商用英文			◎第2期  ◎第一類課程 【Summer Session 2】				00UB9H1	B	半	2.0		共同科	CU					English (III): English for Business	是										Y	0	35			必		◎必須先修過【英文（一）】◎必須先修過【英文（二）】	N						0047			陳嬿如	◎密集課程							
3	113	0	0.00				英文（三）：社會科學英文			◎全期  ◎第一類課程 【Summer Session 1 & 2】				00UB9M1	A	半	2.0		共同科	CU					English (III): Social Science English	是										Y	0	35			必		◎必須先修過【英文（一）】◎必須先修過【英文（二）】	N						0048			林政憲	◎密集課程							
3	113	10	0.20				多元文化教育專題研究			◎第1期  ◎第二類課程 【第一期】				CED0123		半	3.0		公領系（博）	ED07					Special Topics on Multicultural Education											Y	0	50			選		◎課程開放上修	N						0050			鍾明倫	◎密集課程							
3	113	10	0.20				進階統計軟體應用	碩博	8	◎第2期  ◎第二類課程 【第二期】				HEC0028		半	2.0		衛教系（碩）	EM05					Advanced Statistical Software to Data Analysis											Y	0	50			選		◎課程開放上修	N						0051			吳文琪	◎密集課程							
3	113	10	0.20				衛生統計與實驗設計	碩博	8	◎第1期  ◎第一類課程 【第一期】				HEC0029		半	2.0		衛教系（碩）	EM05					Health Statistics and Experimental Design											Y	0	50			選		◎課程開放上修	N						0052			李子奇	◎密集課程							
3	113	10	0.20				幼兒與家庭研究			◎全期  ◎第二類課程   【全期】				HGM0125		半	3.0		幼家科學系（碩）	EM06					Children and Families											Y	0	50			選		◎課程開放上修	N						0053			聶西平	◎密集課程							
3	113	10	0.20				文教事業概論			◎第1期  ◎第二類課程   【第一期】    授課教師:陳玉娟教授及邱昌其助理教授				EDU0170		半	2.0		教育系（學）	EU00					Introduction of Educational Business					4	四					Y	0	50			選			N						0055			陳玉娟 邱昌其	◎密集課程							
